MU_code,UID,management_unit,year,effort,site_number,timeframe,timesincelogging,forest_type ,x,y,100m_buffer,200m_buffer,500m_buffer,1000m_buffer,avg_treesharvest,avg_skidtrail,avg_feeder,avg_secondary,insectivores,granivores,frugivores,carnivores,omnivores,frugivore.insectivore,nectarivore,understory,mid.story,canopy,all,diversity,A.amazonica,A.ararauna,A.bicolor,A.chloropterus,A.cinnamomeus,A.dufresniana,A.farinosa,A.macao,A.spadiceus,B.capensis,B.chrysoptera,B.nitidus,C.alector,C.arada,C.brachyura,C.caeruleus,C.cayana,C.cinerascens,C.cinereus,C.cotinga,C.cyaneus,C.cyanoides,C.cyanus,C.elegans,C.flavus,C.gutturalis,C.haemorrhous,C.lineatus,C.melanoleucos,C.niger,C.rubricollis,C.soui,C.spiza,C.tyrannina,C.undatus,C.variegatus,Captio sp.,Ce.torquatus,Chlorestes sp.,Cyanerpes sp.,D.accipitrinus,D.certhia,D.fuliginosa,D.lineatus,D.longicauda,D.merula,D.picumnus,D.picus,D.pipra,D.rufigula,E.forficatus,E.gutturalis,F.analis,F.colma,F.grisea,F.nigricapillus,F.viridis,G.albirostris,G.dea,G.montana,G.rufigula,G.spirurus,G.varia,H.auritus,H.cantator,H.dorsimaculatus,H.macularius,H.melanopogon,H.militaris,H.muscicapinus,H.pectoralis,H.perrotii,H.stictocephalus,H.sticturus,H.thoracicus,I.americanus,I.cayanensis,I.plumbea,J.aureus,L.albolineatus,L.galeatus,L.hypopyrra,L.verreauxi,L.vociferans,M.atra,M.axillaris,M.barbatus,M.behni,M.brachyura,M.campanisona,M.cayanensis,M.ecaudatus,M.ferruginea,M.gilvicollis,M.guttata,M.leucophrys,M.longipennis,M.macconnelli,M.maculatus,M.menetriesii,M.mirandollei,M.momota,M.oleagineus,M.ruficollis,M.surinamensis,M.tuberculifer,M.ustulatus,My.torquata,N.chrysocephalum,N.griseus,N.leucopterus,N.macrorhynchos,N.nigrescens,N.rufipennis,N.tectus,O.gujanensis,O.inerme,O.motmot,P.albifrons,P.albus,P.aracari,P.caica,P.carnifex,P.coraya,P.coronatus,P.crepitans,P.decumanus,P.exilis,P.flavigula,P.fuscus,P.griseiceps,P.jacquacu,P.marail,P.menstruus,P.murina,P.picta,P.platyrhynchos,P.plumbea,P.ruber,P.saturatus,P.speciosa,P.subvinacea,P.superciliosus,P.tricolor,P.viridis,Pe.erythromelas,Ph.erythrocercum,Ph.melanocephalus,Pi.erythrocephala,Pi.melanocephalus,Pia.melanogaster,Platyrinchus sp.,R.melanurus,R.olivaceous,R.simplex,R.tucanus,R.vitellinus,S.griseicapillus,S.grossus,S.leucostigma,S.olivacea,S.piperivora,S.turdina,T.albicollis,T.ardesiacus,T.assimilis,T.caesius,T.chionurus,T.collaris,T.doliatus,T.elatus,T.erythrurus,T.fumigatus,T.furcata,T.huetii,T.leucomelas,T.major,T.melanurus,T.mexicana,T.murinus,T.poliocephalus,T.punctatus,T.purpuratus,T.rufus,T.spodioptila,T.surinamus,T.tao,T.violaceus,T.virdis,T.virescens,Ti.major,V.cassini,V.leucotis,V.olivaceous,W.poecilonota,X.guttatus,X.minutus,X.obsoletus,X.pardalotus,X.punicea
Control-1Control After,control-1,control,2013,120,1,post1,1,mora,295181,497630,0,0,0,0,0,0,0,0,33,2,14,0,5,1,1,26,2,26,2,56,0,0,0,2,0,4,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,9,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,3,0,2,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0
Control-1Control Before,control-1,control,2021,145,2,pre_logged,0,mora,295181,497630,0,0,0,0,0,0,0,0,18,0,9,0,4,2,0,15,0,18,0,33,0,0,0,6,0,12,18,6,0,0,16,0,5,1,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,2,0,2,0,5,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,1,8,3,0,0,0,0,5,0,0,11,0,1,4,2,0,0,0,0,0,0,4,0,0,54,0,9,0,0,0,3,0,0,0,0,4,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,9,4,0,0,5,0,0,0,6,0,0,3,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,1,8,8,0,0,0,0,0,0,0,2,6,3,1,0,0,0,0,0,0,0,0,0,5,0,2,0,0,4,0,0,0,0,2,0,0,0,0,1,0,3,2,0,0,2,0
Control-1ControlAfter_2,control-1,control,2010,117,3,post10,10,mora,295181,497630,0,0,0,0,0,0,0,0,20,0,11,1,2,2,0,17,1,14,4,36,0,0,0,0,0,6,11,4,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,5,0,2,0,0,0,4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,2,0,0,0,0,1,0,5,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,5,0,0,4,0
Control-2Control After,control-2,control,2013,130,4,post1,1,mixed,294991,498708,0,0,0,0,0,0,0,0,3,1,3,0,0,1,0,5,0,2,1,8,0,2,0,4,0,4,7,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,5,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control-2Control Before,control-2,control,2021,10,5,pre_logged,0,mixed,294991,498708,0,0,0,0,0,0,0,0,20,0,8,1,3,2,0,14,1,15,4,34,0,0,0,2,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control-2ControlAfter_2,control-2,control,2010,116,6,post10,10,mixed,294991,498708,0,0,0,0,0,0,0,0,17,2,10,1,3,0,0,16,1,14,2,33,0,0,0,0,0,10,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,3,3,0,1,0,2,0,0,0,0,0,9,3,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Control-3Control After,control-3,control,2021,120,7,pre_logged,0,mixed,296143,498592,0,0,0,0,0,0,0,0,18,1,7,1,3,1,0,14,1,14,2,31,0,0,0,0,0,6,10,0,3,0,2,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,6,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,25,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,3,0,0,0,0
Control-3ControlAfter_2,control-3,control,2013,117,8,post10,10,mixed,296143,498592,0,0,0,0,0,0,0,0,19,1,9,1,4,1,0,19,0,14,2,35,0,0,0,0,0,5,19,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,4,0,0,6,0,7,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,22,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,5,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0
E6-1Logged,E6-1,E6,2013,120,9,post1,1,greenheart,310504,508982,0,10,79,274,90.75,0.19,0.35,0.71,30,2,12,0,3,1,1,25,1,20,3,49,0,0,0,6,0,3,0,0,0,0,3,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,5,0,1,0,0,0,2,0,0,0,0,0,3,0,5,1,0,0,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,1,5,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,3,1,0,4,0,0,2,0,0,4,0,3,3,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
E6-1Logged_2,E6-1,E6,2020,129,10,post10,10,greenheart,310504,508982,0,10,79,274,90.75,0.19,0.35,0.71,22,3,14,0,4,1,0,15,2,24,3,44,4,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,1,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,1,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,3,0,0,3,0,0,6,1,3,0,0,1,0,0,0,1,1,0,1,0,4,0,0,0,0,1,0,2,0,1,0,0,1,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,2,0,7,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0
E6-1Unlogged,E6-1,E6,2009,155,11,pre_logged,0,greenheart,310504,508982,0,0,0,0,0,0.19,0.35,0.71,28,2,14,0,6,1,4,18,1,32,4,55,0,0,0,1,0,2,2,0,0,0,5,0,4,0,0,1,0,5,0,0,0,0,0,2,0,0,1,1,0,0,1,0,2,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,7,0,0,9,12,1,0,0,0,0,0,1,2,0,17,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,4,0,0,5,10,2,0,0,0,0,0,0,0,1,6,0,3,0,0,0,0,0,2,4,0,1,0,0,0,0,2,0,2,0,0,0,0,5,2,0,1,0,0,0,4,0,1,0,0,2,1,0,0,0,5,0,1,0,0,5,0,2,0,0,0,1,0
E6-2Logged,E6-2,E6,2013,80,12,post1,1,greenheart,310490,507982,1,22,186,542,187.75,0.19,0.35,0.71,23,1,10,1,5,1,0,17,1,21,2,41,0,0,0,6,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,1,1,0,1,2,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,4,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,2,0,0,3,0,2,0,0,2,0,0,4,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
E6-2Logged_2,E6-2,E6,2020,160,13,post10,10,greenheart,310490,507982,1,22,186,542,187.75,0.19,0.35,0.71,34,1,16,1,5,3,0,29,2,26,3,60,4,0,0,2,0,6,3,0,4,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,4,2,3,0,0,0,1,1,0,0,1,0,0,2,0,0,0,5,2,0,0,0,0,0,0,1,1,0,0,0,0,5,0,0,1,0,1,1,0,0,2,1,0,2,0,2,0,0,7,0,0,0,0,1,0,0,0,0,2,1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,2,0,5,0,0,0,0,2,8,0,0,0,0,0,0,1,0,0,2,1,4,0,0,0,0,2,7,2,0,0,1,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,3,0,0,0,2,7,8,3,0,0,0,0,0,0,0,0,0
E6-2Unlogged,E6-2,E6,2009,160,14,pre_logged,0,greenheart,310490,507982,0,0,0,0,0,0.19,0.35,0.71,40,1,17,0,5,1,3,29,1,32,5,67,0,0,0,2,0,1,9,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,1,2,0,0,4,0,2,0,0,4,0,4,2,0,5,0,0,8,1,0,0,0,0,0,0,5,0,0,0,3,2,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,2,0,1,3,3,0,5,0,0,1,0,0,0,0,25,0,0,0,0,0,0,1,0,2,0,4,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,4,0,0,13,0,0,1,0,0,1,0,2,0,0,2,6,1,0,0,0,1,0,0,0,0,4,0,11,0,0,0,0,1,1,1,0,0,0,0,4,0,0,1,3,2,4,0,0,1,3,0,0,3,0,0,7,0,7,0,0,0,1,1,0,0,0,0,4,1,0,0,0,4,0,2,0,2,0
K39-1Logged,K39-1,K39,2012,130,15,post1,1,mixed,305002,510025,14,32,102,348,124,0.18,0.65,0.54,23,1,14,0,7,1,0,21,1,23,1,46,8,0,0,2,0,7,7,0,6,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,4,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,6,0,0,3,0,0,0,0,0,1,0,1,0,0,4,0,1,0,0,0,0,0,0,1,0,5,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,1,0,0,2,0,0,0,6,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0
K39-1Logged_2,K39-1,K39,2020,80,16,post10,10,mixed,305002,510025,14,32,102,348,124,0.18,0.65,0.54,20,1,10,1,5,1,0,18,0,17,3,38,0,0,0,6,0,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,3,0,0,2,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,4,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,1,1,3,1,0,0,0,0,0,1,0,0,0
K39-1Unlogged,K39-1,K39,2009,150,17,pre_logged,0,mixed,305002,510025,0,0,0,0,0,0.18,0.65,0.54,37,2,17,1,7,1,1,29,1,31,5,66,2,0,0,2,0,4,4,0,1,0,10,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,8,1,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,1,1,1,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,8,1,0,0,2,0,0,0,0,0,0,3,1,0,0,0,1,0,0,5,2,0,1,0,3,0,0,0,0,1,5,7,0,0,0,0,0,3,2,6,1,2,2,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,2,0,0,0,3,0,1,0,0,0,0,4,1,0,0,2,0
K39-2Logged,K39-2,K39,2012,110,18,post1,1,mixed,304001,510016,7,43,205,843,274.5,0.18,0.65,0.54,29,2,11,0,7,1,1,24,3,21,3,51,2,0,0,0,0,1,5,0,0,0,2,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,3,2,2,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,3,0,1,0,0,2,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,12,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,2,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,4,0,0,2,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,3,1,0,0,1,0,0,0,0,0,0,1,0,5,0,0,2,2,0,2,0,0,0,5,0,0,0,0,7,0,0,0,1,0
K39-2Logged_2,K39-2,K39,2020,120,19,post10,10,mixed,304001,510016,7,43,205,843,274.5,0.18,0.65,0.54,22,1,15,2,5,0,1,21,1,21,3,46,0,0,0,4,0,2,0,0,3,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,3,1,0,0,6,0,5,0,0,1,0,0,0,0,2,4,0,0,1,0,2,0,0,32,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,5,0,0,0,0,1,0,4,2,0,0,0,2,0,0,0,0,0,7,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
K39-2Unlogged,K39-2,K39,2009,160,20,pre_logged,0,mixed,304001,510016,0,0,0,0,0,0.18,0.65,0.54,38,2,17,0,7,1,1,32,1,30,3,66,0,0,0,2,0,4,0,0,1,1,2,0,8,2,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,2,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,2,0,2,0,0,0,1,1,0,1,1,0,0,4,2,1,2,0,0,0,0,4,0,0,40,0,3,0,0,1,0,2,0,0,0,8,0,5,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,2,0,0,7,0,0,0,4,0,0,1,6,0,0,1,0,1,0,0,1,0,0,4,3,0,3,0,4,0,0,0,0,0,2,7,0,0,0,0,0,0,1,7,4,2,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,1,0,4,1,0,1,0,4,1,1,0,1,0
K39-3Logged,K39-3,K39,2012,100,21,post1,1,mixed,303001,510017,16,49,242,414,180.25,0.18,0.65,0.54,28,3,13,1,6,0,2,22,2,25,4,53,4,0,0,4,0,5,7,0,0,0,4,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,5,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,6,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,1,0,2,0,2,0,0,0,0,1,5,0,0,2,1,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,1,0,2,0
K39-3Logged_2,K39-3,K39,2020,120,22,post10,10,mixed,303001,510017,16,49,242,414,180.25,0.18,0.65,0.54,24,2,13,0,4,3,1,21,1,23,2,47,0,0,0,8,0,5,1,0,0,0,0,0,0,2,1,0,0,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,4,8,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,4,0,0,0,2,0,0,0,0,1,0,0,2,0,0,2,0,0,1,0,0,0,2,4,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7,0,0,1,2,0,0,0,0,0,1,12,7,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,2,2,4,2,0,0,1,0,0,0,0,0,0
